country,year,emissions
Bahrain,2000,29.20955469
Bahrain,2010,19.17841873
Equatorial Guinea,2000,0.873720486
Equatorial Guinea,2010,6.679982848
Kazakhstan,2000,8.541838635
Kazakhstan,2010,15.5185722
Kuwait,2000,28.42971868
Kuwait,2010,34.23316569
Netherlands Antilles,2000,31.22711183
Netherlands Antilles,2010,23.55053507
Oman,2000,9.669651287
Oman,2010,20.55621545
Qatar,2000,58.76400483
Qatar,2010,40.09833259
Singapore,2000,12.50257274
Singapore,2010,2.657862567
Trinidad and Tobago,2000,18.97102658
Trinidad and Tobago,2010,37.77735535
United Arab Emirates,2000,37.1031264
United Arab Emirates,2010,22.30940485
